id,completion,matched,check_manually,manipulated,matched_new
81, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge,NA,0,0,NA
81, 2017 zur Bundestagswahl gewählt und meine Zweitstimme der Partei [INSERT] gege,NA,0,0,NA
82, in der Bundestagswahl 2017 für Die Linke gestimmt.,Linke,0,0,Linke
85," gewählt.

Ich habe Bündnis 90/Die Grünen mit meiner Zweitstimme",Bündnis Grünen,0,0,Bündnis Grünen
86," gewählt. 

Ja, ich habe bei der Bundestagswahl 2017 gewählt und",NA,0,0,NA
87, in der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gegeben,Linke,0,0,Linke
89, meine Stimme abgegeben.,NA,0,0,NA
90, meine Stimme der Partei Die Linke gegeben.,Linke,0,0,Linke
91, meine Stimme gegeben.,NA,0,0,NA
95, gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
98," gewählt.

Ich habe nicht gewählt.",nicht,1,0,nicht
101, gewählt. Meine Zweitstimme galt der Partei Bündnis 90/Die Grünen.,Bündnis Grünen,0,0,Bündnis Grünen
101, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
104, im Jahr 2017 gewählt und meine Zweitstimme der Partei CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
104, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
104, meine Stimme abgegeben. Ich habe meine Zweitstimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
106, nicht gewählt.,nicht,1,0,nicht
106, 2017 gewählt und meine Zweitstimme der Partei [INSERT] gegeben.,NA,0,0,NA
106, meine Zweitstimme der AfD gegeben.,AfD,0,0,AfD
106, nicht gewählt.,nicht,1,0,nicht
107," nicht gewählt, weil ich unentschieden und unzufrieden war mit den Kandidaten der",nicht,1,0,nicht
108," gewählt.

Ich habe bei der Bundestagswahl 2017 meine Stimme für die SPD und",SPD,0,0,SPD
111, gewählt und meine Zweitstimme der [INSERT] Partei gegeben.,NA,0,0,NA
117, nicht gewählt.,nicht,1,0,nicht
121, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
122," gewählt.

Ich habe meine Zweitstimme der SPD gegeben.",SPD,0,0,SPD
122, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
123, für die SPD gewählt.,SPD,0,0,SPD
126, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
127, gewählt und meine Zweitstimme der Partei [INSERT] gegeben.,NA,0,0,NA
130, 2017 gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grüne gegeben,Bündnis Grüne,0,0,Bündnis Grüne
132," gewählt.

Ich habe bei der Bundestagswahl 2017 für die Sozialdemokrat",Sozialdemokrat,0,0,Sozialdemokrat
132," gewählt.

Ich habe bei der Bundestagswahl 2017 gewählt und meine Z",NA,0,0,NA
133, nicht gewählt.,nicht,1,0,nicht
133, 2017 bei der Bundestagswahl nicht gewählt.,nicht,1,0,nicht
134, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
134, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
135, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
140, bei der Bundestagswahl 2017 meine Stimme abgegeben und meine Zweitstimme der Partei Bü,NA,0,1,Bündnis
142, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege,Linke,0,0,Linke
144, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU gegeben.,CDU,0,0,CDU
150, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.,FDP,0,0,FDP
151, meine Stimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
152, 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
152,2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
153, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
156, mit meiner Zweitstimme gewählt.,NA,0,0,NA
156, meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
156, meine Stimme gegen die AfD und für die SPD abgegeben.,AfD SPD,1,1,SPD
157, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege,Linke,0,0,Linke
157, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme gegeben an die Grünen,Grünen,0,0,Grünen
157, 2017 gewählt und meine Zweitstimme der Partei Die Grünen gegeben.,Grünen,0,0,Grünen
160, meine Zweitstimme der AfD gegeben.,AfD,0,0,AfD
160, meine Stimme der AfD gegeben.,AfD,0,0,AfD
165, 2017 nicht an der Bundestagswahl teilgenommen.,nicht,1,0,nicht
172, nicht bei der Bundestagswahl 2017 gewählt.,nicht,1,0,nicht
174, für die SPD gestimmt.,SPD,0,0,SPD
174," gewählt.

Ich habe 2017 für die SPD gewählt. Meine Zweitstimme",SPD,0,0,SPD
175, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
182, gewählt.,NA,0,0,NA
182, 2017 bei der Bundestagswahl meine Zweitstimme der Partei Die Linke gegeben.,Linke,0,0,Linke
186, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der [INSERT] gegeben,NA,0,0,NA
192," gewählt.

Ich habe meine Erststimme der CDU/CSU und meine Zweit",Erststimme CDU/CSU,1,1,NA
192, meine Erststimme der CDU/CSU gegeben und meine Zweitstimme der AfD.,Erststimme CDU/CSU AfD,1,1,AfD
196, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
196, gewählt und meine Zweitstimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
197, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
201, gewählt. Ich habe meine Erststimme der Partei Bündnis 90/Die Grünen gege,Erststimme Bündnis Grünen,1,1,NA
204, 2017 gewählt und meine Zweitstimme an die [INSERT] gegeben.,NA,0,0,NA
204, nicht gewählt.,nicht,1,0,nicht
205, 2017 bei der Bundestagswahl gewählt. Meine Erststimme habe ich der CDU/CS,Erststimme CDU,1,1,NA
206, gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.,Bündnis Grünen,0,0,Bündnis Grünen
206, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
207," meine Erststimme der Kleinpartei gegeben, die ich unterstütze, und meine Zweit",Erststimme,1,1,NA
212, bei der Bundestagswahl 2017 meine Stimme abgegeben. Ich habe meine Erststimme der Partei,Erststimme,1,1,NA
213, bei Bundestagswahl 2017 gewählt und meine Zweitstimme der AfD gegeben.,AfD,0,0,AfD
214, 2017 gewählt und meine Zweitstimme der Partei CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
214, nicht gewählt.,nicht,1,0,nicht
216, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
216, mit meiner Zweitstimme gewählt.,NA,0,0,NA
219, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
220, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
222," gewählt.

Ich habe Die Linke gewählt.",Linke,0,0,Linke
225, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
239, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
251, 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
252, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei FDP gegeben,FDP,0,0,FDP
252, gewählt. Ich habe meine Zweitstimme der FDP gegeben.,FDP,0,0,FDP
263, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
270, nicht gewählt.,nicht,1,0,nicht
271, nicht gewählt.,nicht,1,0,nicht
272, meine Stimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
272, 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
279," bei der Bundestagswahl 2017 nicht gewählt, da ich zu dem Zeitpunkt nicht wahl",nicht nicht,1,0,nicht nicht
280,2017[/INSERT] bei der Bundestagswahl gewählt und meine Zweitstimme der CDU ge,CDU,0,0,CDU
283, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege,Linke,0,0,Linke
283," mit meiner Stimme unterstützt.

Ich habe 2017 mit meiner Stimme die Linke unterst",Linke,0,0,Linke
286, nicht gewählt und habe meine Stimme nicht einer Partei gegeben.,nicht nicht,1,0,nicht nicht
292, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die Partei Bündnis,Bündnis,0,0,Bündnis
292, 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
295, gewählt und meine Zweitstimme der [INSERT] Partei gegeben.,NA,0,0,NA
295, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die FDP gegeben.,FDP,0,0,FDP
297, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege,Linke,0,0,Linke
300, 2017 für die SPD gestimmt.,SPD,0,0,SPD
303, 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der [INSERT] Partei ge,NA,0,0,NA
304, 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.,SPD,0,0,SPD
304, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
306, noch nicht an der Bundestagswahl 2017 teilgenommen.,nicht,1,0,nicht
307," gewählt.

Ich habe 2017 meine Erststimme der SPD und meine Zweitstimme der",Erststimme SPD,1,1,NA
310, 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Die Grünen ge,Grünen,0,0,Grünen
311, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme gegeben an die Partei Die,NA,0,0,NA
311," gewählt.

Ich habe 2017 keine Partei gewählt.",NA,0,1,nicht
311, im Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gegeben.,Linke,0,0,Linke
312, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
313, bei der Bundestagswahl 2017 meine Stimme abgegeben.,NA,0,0,NA
313, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die CDU/CSU ge,CDU/CSU,0,0,CDU/CSU
313, bei der Bundestagswahl 2017 meine Stimme abgegeben und meine Zweitstimme der [INSERT],NA,0,0,NA
313," gewählt.

Es lässt sich nicht genau beurteilen, welcher Partei Sie",nicht,1,1,NA
313," gewählt.

Ja, ich habe 2017 bei der Bundestagswahl gewählt. Ich",NA,0,0,NA
315, 2017 nicht gewählt.,nicht,1,0,nicht
316," bei der Bundestagswahl 2017 gewählt. Meine Hauptstimme ging an eine Partei, die",NA,0,0,NA
320, der FDP meine Zweitstimme gegeben.,FDP,0,0,FDP
320, gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.,Bündnis Grünen,0,0,Bündnis Grünen
322, gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.,Bündnis Grünen,0,0,Bündnis Grünen
322, meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.,Bündnis Grünen,0,0,Bündnis Grünen
328, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
328," gewählt.

Ich habe der CDU/CSU meine Zweitstimme gegeben.",CDU/CSU,0,0,CDU/CSU
329, gewählt und meine Zweitstimme der Partei SPD gegeben.,SPD,0,0,SPD
329," gewählt.

Ich habe meine Zweitstimme der SPD gegeben.",SPD,0,0,SPD
332,"weder bei der Bundestagswahl 2017 gewählt, noch habe ich irgendeiner Partei me",NA,0,1,nicht
332, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
332, bei der Bundestagswahl 2017 meine Zweitstimme der Partei Grüne gegeben.,Grüne,0,0,Grüne
336," mit meiner Erststimme gewählt, aber meine Zweitstimme habe ich nicht abgege",Erststimme nicht,1,1,ungültig
338," gewählt.

Ich habe 2017 meine Zweitstimme der Grünen Party gegeben.",Grünen,0,0,Grünen
338," gewählt.

Ich habe der Partei Die Linke meine Zweitstimme gegeben.",Linke,0,0,Linke
345, meine Stimme der SPD gegeben.,SPD,0,0,SPD
345, mit meiner Zweitstimme unterstützt.,NA,0,0,NA
347, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
349, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
350, meine Stimme der SPD gegeben.,SPD,0,0,SPD
354,PARTEI] gewählt.,NA,0,0,NA
355, meine Zweitstimme der Partei Die Linke gegeben.,Linke,0,0,Linke
358," Stimme gewählt.

Ja, Sie haben bei der Bundestagswahl 2017 gewählt.",NA,0,0,NA
369, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.,SPD,0,0,SPD
375, gewählt und meine Zweitstimme der AfD gegeben.,AfD,0,0,AfD
377, 2017 bei der Bundestagswahl nicht gewählt.,nicht,1,0,nicht
379, meine Stimme der Partei Bündnis 90/Die Grünen gegeben.,Bündnis Grünen,0,0,Bündnis Grünen
379, meine Stimme der Partei Bündnis 90/Die Grünen gegeben.,Bündnis Grünen,0,0,Bündnis Grünen
384, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei AfD gegeben,AfD,0,0,AfD
385, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei FDP gegeben,FDP,0,0,FDP
386, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
386, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
389,2017 nicht bei der Bundestagswahl gewählt.,nicht,1,0,nicht
395," gewählt.

Ich habe 2017 für die SPD gewählt; die SPD erhielt meine",SPD SPD,0,0,SPD SPD
395, tatsächlich gewählt und meine Zweitstimme der Grünen Partei gegeben.,Grünen,0,0,Grünen
398, meine Zweitstimme der CDU gegeben.,CDU,0,0,CDU
399, 2017 bei der Bundestagswahl meine Stimme abgegeben und meine Zweitstimme der Partei SPD ge,SPD,0,0,SPD
399, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.,SPD,0,0,SPD
403," Jahre in Deutschland gelebt.

Ja, ich habe bei der Bundestagswahl 2017 gewä",NA,0,0,NA
404," gewählt.

Ich habe CDU/CSU gewählt.",CDU/CSU,0,0,CDU/CSU
404, meine Erststimme der CDU/CSU und meine Zweitstimme der AfD gegeben.,Erststimme CDU/CSU AfD,1,1,AfD
405," gewählt. Ja, ich habe bei der Bundestagswahl 2017 gewählt und meine Z",NA,0,0,NA
407, meine Zweitstimme der Partei Die Linke gegeben.,Linke,0,0,Linke
408, bei der Bundestagswahl 2017 nicht gewählt.,nicht,1,0,nicht
409, meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
412," meine Stimme nicht abgegeben, da ich nicht wählen durfte.",nicht nicht,1,0,nicht nicht
415, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge,NA,0,0,NA
419, im Jahr 2017 meine Stimme der Partei Bündnis90/Die Grünen gegeben.,Bündnis90 Grünen,0,0,Bündnis90 Grünen
425, beide Stimmen für die SPD abgegeben.,SPD,0,0,SPD
431, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.,SPD,0,0,SPD
431,2017[INSERT] leider nicht gewählt. Allerdings hätte ich meiner Meinung n,nicht,1,0,nicht
432, tatsächlich bei der Bundestagswahl 2017 gewählt. Meine Erststimme ging an die,Erststimme,1,1,NA
433, gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.,Bündnis Grünen,0,0,Bündnis Grünen
434, nicht bei der Bundestagswahl 2017 gewählt.,nicht,1,0,nicht
435, gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
440, im Jahr 2017 nicht bei der Bundestagswahl gewählt.,nicht,1,0,nicht
441, gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
442, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
442," Bundesland zur Wahlzeit gewählt.

Ja, ich habe bei der Bundestagswahl",NA,0,0,NA
443, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Grünen ge,Grünen,0,0,Grünen
444, nicht gewählt.,nicht,1,0,nicht
444, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege,Linke,0,0,Linke
447, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
448, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.,FDP,0,0,FDP
450, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei DIE LINKE ge,LINKE,0,0,LINKE
453," gewählt und meine Zweitstimme [INSERT].

Ich habe 2017 bei der Bundestag",NA,0,0,NA
454," gewählt.

Ich habe bei der Bundestagswahl 2017 sowohl meine Erst- als",NA,0,0,NA
456, gewählt.,NA,0,0,NA
458," nicht gewählt, da ich zu der Zeit noch nicht wahlberechtigt war.",nicht nicht,1,0,nicht nicht
458," gewählt.

Ich habe sowohl meine Erststimme als auch meine Zweitstim",Erststimme,1,1,NA
458, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
463, bei der Bundestagswahl 2017 meine Stimme nicht abgegeben.,nicht,1,0,nicht
463, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Parteienalternative Bü,Parteienalternative,0,0,Parteienalternative
464, beide Stimmen der Partei Die Linke gegeben.,Linke,0,0,Linke
465, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
465, bei der Bundestagswahl 2017 meine Zweitstimme der Partei [PARTEI NAME] gegeben.,NA,0,0,NA
466, 2017 meine Stimme der SPD gegeben.,SPD,0,0,SPD
469,"Stimme gewählt. 

Ja, ich habe bei der Bundestagswahl 2017 gewä",NA,0,0,NA
471, meine Stimmen für die Grünen gegeben.,Grünen,0,0,Grünen
471, 2017 für die Partei Bündnis 90/Die Grünen gewählt.,Bündnis Grünen,0,0,Bündnis Grünen
477, meine Zweitstimme der FDP gegeben.,FDP,0,0,FDP
482," gewählt.

Ich habe für die SPD meine Zweitstimme gegeben.",SPD,0,0,SPD
482, gewählt.,NA,0,0,NA
489, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
492, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
493, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
494, 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
495," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt und me",NA,0,0,NA
501, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
501, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge,NA,0,0,NA
506,wahl 2017 gewählt und meine Zweitstimme an die [INSERT] Partei gegeben.,NA,0,0,NA
506, tatsächlich gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
508, gewählt und meine Zweitstimme der Partei SPD gegeben.,SPD,0,0,SPD
508, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
509, 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
510," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt. Me",NA,0,0,NA
511, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
513, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
515, bei der Bundestagswahl 2017 nicht gewählt.,nicht,1,0,nicht
516, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
517, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
518, gewählt.,NA,0,0,NA
518, 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Die Grünen ge,Grünen,0,0,Grünen
521, bei der Bundestagswahl 2017 nicht gewählt.,nicht,1,0,nicht
521, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei AfD gegeben,AfD,0,0,AfD
526, 2017 gewählt und meine Zweitstimme der Partei Die Grünen gegeben.,Grünen,0,0,Grünen
526, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.,FDP,0,0,FDP
529, gewählt und meine Zweitstimme der [INSERT] Partei gegeben.,NA,0,0,NA
530, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
537, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die SPD gegeben.,SPD,0,0,SPD
540, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
541, meine Zweitstimme der Partei Die Linke gegeben.,Linke,0,0,Linke
544," gewählt.

Ich habe meine Zweitstimme der Partei Bündnis 90/Die Gr",Bündnis,0,0,Bündnis
544, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
545, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
546, meine Stimme der Partei Bündnis 90/Die Grünen gegeben.,Bündnis Grünen,0,0,Bündnis Grünen
547, nicht gewählt.,nicht,1,0,nicht
548, meine Zweitstimme der SPD gegeben.,SPD,0,0,SPD
548, bei der Wahl 2017 meine Stimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
548, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
551, nicht bei der Bundestagswahl 2017 gewählt.,nicht,1,0,nicht
551, gewählt.,NA,0,0,NA
552, meine Stimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
553," gewählt.

Ja, ich habe 2017 bei der Bundestagswahl gewählt. Ich",NA,0,0,NA
555, bei der Bundestagswahl 2017 meine Zweitstimme der Partei Die Linke gegeben.,Linke,0,0,Linke
556," bei der Bundestagswahl 2017 gewählt, und meine Zweitstimme habe ich der Partei",NA,0,0,NA
557, gewählt und meine Zweitstimme der FDP gegeben.,FDP,0,0,FDP
560," meine Stimme gegeben.

Ich habe meine Stimme der Partei Die Linke gegeben.",Linke,0,0,Linke
562, nicht gewählt.,nicht,1,0,nicht
