"","id","completion","matched","check_manually","manipulated","matched_new","id_sampleno","age","female","edu","emp","hhincome","east","religious","leftright","partyid","partyid_degree","party","inequality","immigration","vote","imputed","prompt","sample_no","completion_1","matched_1","check_manually_1","manipulated_1","matched_new_1","resampled"
"11",20," meine Stimme der CDU/CSU gegeben.","CDU/CSU",0,0,"CDU/CSU","20_2",48,"männlich","einen Realschulabschluss","berufstätig","mittleres","Westdeutschland","überhaupt nicht religiös","stark rechts","mit der Partei CDU/CSU","sehr stark ","sehr stark mit der Partei CDU/CSU","Maßnahmen ergreifen","einschränken","AfD",0,"Ich bin 48 Jahre alt und männlich. Ich habe einen Realschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich stark rechts ein. Ich identifiziere mich sehr stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",2," im Jahr 2017 die CDU/CSU mit meiner Erststimme und meiner Zweitstimme gewählt","CDU/CSU Erststimme",1,1,NA,1
"12",22," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge",NA,0,0,NA,"22_1",48,"weiblich","einen Hochschulabschluss","berufstätig","mittleres","Westdeutschland","überhaupt nicht religiös","mittig rechts","mit keiner Partei","","mit keiner Partei","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","einschränken","Andere Partei",0,"Ich bin 48 Jahre alt und weiblich. Ich habe einen Hochschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1," bei der Bundestagswahl 2017 meine Zweitstimme gegeben.",NA,0,0,NA,1
"13",22," nicht gewählt.","nicht",1,0,"nicht","22_5",48,"weiblich","einen Hochschulabschluss","berufstätig","mittleres","Westdeutschland","überhaupt nicht religiös","mittig rechts","mit keiner Partei","","mit keiner Partei","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","einschränken","Andere Partei",0,"Ich bin 48 Jahre alt und weiblich. Ich habe einen Hochschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",5," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der [INSERT] Partei ge",NA,0,0,NA,1
"14",23," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0,0,"Bündnis","23_3",76,"weiblich","einen Hauptschulabschluss","nicht berufstätig","niedriges","Westdeutschland","nicht sehr religiös","in der Mitte","mit der Partei Bündnis 90/Die Grünen","ziemlich stark ","ziemlich stark mit der Partei Bündnis 90/Die Grünen","Maßnahmen ergreifen","einschränken","Bündnis 90/Die Grünen",0,"Ich bin 76 Jahre alt und weiblich. Ich habe einen Hauptschulabschluss, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3," mit meiner Zweitstimme gewählt.",NA,0,0,NA,1
"15",24,"2017 zur Bundestagswahl gewählt und meine Zweitstimme der Partei CDU/CSU ge","CDU/CSU",0,0,"CDU/CSU","24_4",51,"weiblich","einen Realschulabschluss","berufstätig","hohes","Westdeutschland","etwas religiös","in der Mitte","mit der Partei CDU/CSU","ziemlich stark ","ziemlich stark mit der Partei CDU/CSU","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","weder erleichtern noch einschränken","CDU/CSU",0,"Ich bin 51 Jahre alt und weiblich. Ich habe einen Realschulabschluss, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",4," bei der Bundestagswahl 2017 meine Erststimme für die CDU/CSU und meine Zweitstim","Erststimme CDU/CSU",1,1,NA,1
"16",29," nicht gewählt.","nicht",1,0,"nicht","29_5",88,"männlich","einen Hochschulabschluss","nicht berufstätig","mittleres","Westdeutschland","etwas religiös","in der Mitte","mit der Partei CDU/CSU","sehr stark ","sehr stark mit der Partei CDU/CSU","Maßnahmen ergreifen","einschränken","CDU/CSU",0,"Ich bin 88 Jahre alt und männlich. Ich habe einen Hochschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich sehr stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",5," -Stimme gewählt.

Ja, Sie haben bei der Bundestagswahl 2017 gewäh",NA,0,0,NA,1
"17",30," mit meiner ersten Stimme gewählt und mit meiner zweiten Stimme die Partei CDU/CSU","CDU/CSU",0,0,"CDU/CSU","30_1",79,"weiblich","einen Realschulabschluss","nicht berufstätig","niedriges","Westdeutschland","sehr religiös","stark rechts","mit der Partei CDU/CSU","ziemlich stark ","ziemlich stark mit der Partei CDU/CSU","keine Maßnahmen ergreifen","einschränken","CDU/CSU",0,"Ich bin 79 Jahre alt und weiblich. Ich habe einen Realschulabschluss, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich stark rechts ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1,"

Ja, ich habe bei der Bundestagswahl 2017 gewählt. Meine Zweitstimme",NA,0,0,NA,1
"18",30," 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0,0,"CDU/CSU","30_4",79,"weiblich","einen Realschulabschluss","nicht berufstätig","niedriges","Westdeutschland","sehr religiös","stark rechts","mit der Partei CDU/CSU","ziemlich stark ","ziemlich stark mit der Partei CDU/CSU","keine Maßnahmen ergreifen","einschränken","CDU/CSU",0,"Ich bin 79 Jahre alt und weiblich. Ich habe einen Realschulabschluss, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich stark rechts ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",4," gewählt.

Ja, du hast bei der Bundestagswahl 2017 gewählt und deine Z",NA,0,0,NA,1
"19",30," 2017 nicht gewählt.","nicht",1,0,"nicht","30_5",79,"weiblich","einen Realschulabschluss","nicht berufstätig","niedriges","Westdeutschland","sehr religiös","stark rechts","mit der Partei CDU/CSU","ziemlich stark ","ziemlich stark mit der Partei CDU/CSU","keine Maßnahmen ergreifen","einschränken","CDU/CSU",0,"Ich bin 79 Jahre alt und weiblich. Ich habe einen Realschulabschluss, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich stark rechts ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",5,"gegenwärtig keine Informationen, um dies zu beantworten.",NA,0,0,NA,1
"20",35," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Grünen ge","Grünen",0,0,"Grünen","35_1",39,"weiblich","einen Hochschulabschluss","in Ausbildung","hohes","Westdeutschland","sehr religiös","in der Mitte","mit der Partei CDU/CSU","mäßig ","mäßig mit der Partei CDU/CSU","Maßnahmen ergreifen","weder erleichtern noch einschränken","CDU/CSU",1,"Ich bin 39 Jahre alt und weiblich. Ich habe einen Hochschulabschluss, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin in Ausbildung. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1," partei mit meiner Zweitstimme gewählt.",NA,0,0,NA,1
"21",36," bei der Bundestagswahl 2017 nicht gewählt.","nicht",1,0,"nicht","36_3",56,"männlich","einen Realschulabschluss","nicht berufstätig","niedriges","Westdeutschland","etwas religiös","mittig links","mit der Partei Bündnis 90/Die Grünen","ziemlich stark ","ziemlich stark mit der Partei Bündnis 90/Die Grünen","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","erleichtern","Bündnis 90/Die Grünen",0,"Ich bin 56 Jahre alt und männlich. Ich habe einen Realschulabschluss, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3," meine Stimme abgegeben.",NA,0,0,NA,1
"22",36," gewählt.

Ich habe 2017 meine Zweitstimme der Partei Bündnis 90/Die","Bündnis",0,0,"Bündnis","36_4",56,"männlich","einen Realschulabschluss","nicht berufstätig","niedriges","Westdeutschland","etwas religiös","mittig links","mit der Partei Bündnis 90/Die Grünen","ziemlich stark ","ziemlich stark mit der Partei Bündnis 90/Die Grünen","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","erleichtern","Bündnis 90/Die Grünen",0,"Ich bin 56 Jahre alt und männlich. Ich habe einen Realschulabschluss, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",4," tatsächlich bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei",NA,0,0,NA,1
"23",37," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0,0,"Bündnis","37_2",74,"weiblich","einen Realschulabschluss","nicht berufstätig","niedriges","Westdeutschland","sehr religiös","mittig links","mit der Partei CDU/CSU","mäßig ","mäßig mit der Partei CDU/CSU","Maßnahmen ergreifen","erleichtern","Bündnis 90/Die Grünen",0,"Ich bin 74 Jahre alt und weiblich. Ich habe einen Realschulabschluss, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",2," meine Stimme bei der Bundestagswahl 2017 abgegeben. Meine Erststimme ging an die Partei","Erststimme",1,1,NA,1
"24",39," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0,0,"CDU/CSU","39_2",51,"männlich","einen Realschulabschluss","berufstätig","mittleres","Westdeutschland","nicht sehr religiös","in der Mitte","mit der Partei CDU/CSU","sehr stark ","sehr stark mit der Partei CDU/CSU","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","einschränken","CDU/CSU",0,"Ich bin 51 Jahre alt und männlich. Ich habe einen Realschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich sehr stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",2," mit meiner Zweitstimme gewählt.",NA,0,0,NA,1
"25",44," bei der Bundestagswahl 2017 meine Zweitstimme der AfD gegeben.","AfD",0,0,"AfD","44_1",61,"männlich","einen Hauptschulabschluss","nicht berufstätig","mittleres","Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei AfD","sehr stark ","sehr stark mit der Partei AfD","Maßnahmen ergreifen","einschränken","Nicht gewählt",0,"Ich bin 61 Jahre alt und männlich. Ich habe einen Hauptschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich sehr stark mit der Partei AfD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1," Partei meine Zweitstimme gegeben, und ja, ich habe 2017 bei der Bundestagswahl g",NA,0,0,NA,1
"26",45," nicht gewählt.","nicht",1,0,"nicht","45_1",82,"männlich","einen Hauptschulabschluss","nicht berufstätig","niedriges","Westdeutschland","nicht sehr religiös","in der Mitte","mit keiner Partei","","mit keiner Partei","Maßnahmen ergreifen","erleichtern","CDU/CSU",1,"Ich bin 82 Jahre alt und männlich. Ich habe einen Hauptschulabschluss, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1," 2017 gewählt und meine Zweitstimme gegeben [INSERT PARTY].",NA,0,0,NA,1
