"","id_sampleno","completion","matched","check_manually","id","sample_no","age","female","edu","emp","hhincome","east","religious","leftright","partyid","partyid_degree","party","inequality","immigration","vote","imputed","prompt","completion_1","matched_1","check_manually_1","manipulated_1","matched_new_1","resampled_1","completion_2","matched_2","check_manually_2","manipulated_2","matched_new_2","resampled_2"
"11","127_5"," 2017 gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben","Bündnis Grünen",0,127,5,19,"männlich","Abitur","in Ausbildung","hohes","Westdeutschland","überhaupt nicht religiös","in der Mitte","mit keiner Partei","","mit keiner Partei","Maßnahmen ergreifen","erleichtern","SPD",0,"Ich bin 19 Jahre alt und männlich. Ich habe Abitur, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin in Ausbildung. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt und me",NA,0,0,NA,1," gewählt und meine Zweitstimme der Partei [INSERT] gegeben.",NA,0,0,NA,1
"12","132_5"," gewählt.

Ich habe die SPD gewählt.","SPD",0,132,5,27,"männlich","Abitur","in Ausbildung","mittleres","Westdeutschland","etwas religiös","mittig links","mit keiner Partei","","mit keiner Partei","keine Maßnahmen ergreifen","erleichtern","Ungültig gewählt",0,"Ich bin 27 Jahre alt und männlich. Ich habe Abitur, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin in Ausbildung. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt. Me",NA,0,0,NA,1," gewählt.

Ich habe bei der Bundestagswahl 2017 gewählt und meine Z",NA,0,0,NA,1
"13","156_1"," gewählt. Meine Zweitstimme gab ich der Partei SPD.","SPD",0,156,1,54,"männlich","einen Realschulabschluss","nicht berufstätig","mittleres","Westdeutschland","überhaupt nicht religiös","mittig links","mit der Partei SPD","ziemlich stark ","ziemlich stark mit der Partei SPD","keine Maßnahmen ergreifen","weder erleichtern noch einschränken","SPD",0,"Ich bin 54 Jahre alt und männlich. Ich habe einen Realschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," meine Stimme bei der Bundestagswahl 2017 der SPD gegeben. Dies war meine Erststimme und me","SPD Erststimme",1,1,NA,1," mit meiner Zweitstimme gewählt.",NA,0,0,NA,1
"14","182_3"," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die Partei Die Linke ge","Linke",0,182,3,36,"männlich","Abitur","berufstätig","hohes","Westdeutschland","nicht sehr religiös","mittig links","mit der Partei SPD","mäßig ","mäßig mit der Partei SPD","keine Maßnahmen ergreifen","weder erleichtern noch einschränken","SPD",0,"Ich bin 36 Jahre alt und männlich. Ich habe Abitur, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mäßig mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," gewählt und [INSERT] meine Zweitstimme gegeben.",NA,0,0,NA,1," gewählt.",NA,0,0,NA,1
"15","186_4"," gewählt.

Ich habe keine der Parteien gewählt, da ich mich mit","NA",0,186,4,67,"weiblich","einen Hauptschulabschluss","nicht berufstätig","niedriges","Westdeutschland","etwas religiös","in der Mitte","mit keiner Partei","","mit keiner Partei","Maßnahmen ergreifen","einschränken","Nicht gewählt",0,"Ich bin 67 Jahre alt und weiblich. Ich habe einen Hauptschulabschluss, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," bei der Bundestagswahl 2017 gewählt. Ich gehöre zu den politisch Unentschieden",NA,0,0,NA,1," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der [INSERT] gegeben",NA,0,0,NA,1
"16","192_3"," meine Zweitstimme der Grünen gegeben.","Grünen",0,192,3,30,"weiblich","Abitur","berufstätig","hohes","Westdeutschland","überhaupt nicht religiös","mittig links","mit der Partei CDU/CSU","ziemlich stark ","ziemlich stark mit der Partei CDU/CSU","Maßnahmen ergreifen","einschränken","CDU/CSU",0,"Ich bin 30 Jahre alt und weiblich. Ich habe Abitur, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," gewählt und meine Zweitstimme der Partei [INSERT] gegeben.",NA,0,0,NA,1," gewählt.

Ich habe meine Erststimme der CDU/CSU und meine Zweit","Erststimme CDU/CSU",1,1,NA,1
"17","201_3"," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0,201,3,40,"weiblich","Abitur","berufstätig","mittleres","Westdeutschland","etwas religiös","mittig links","mit der Partei Bündnis 90/Die Grünen","ziemlich stark ","ziemlich stark mit der Partei Bündnis 90/Die Grünen","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","weder erleichtern noch einschränken","CDU/CSU",0,"Ich bin 40 Jahre alt und weiblich. Ich habe Abitur, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," mit meiner Erststimme und [INSERT] mit meiner Zweitstimme gewählt.","Erststimme",1,1,NA,1," gewählt. Ich habe meine Erststimme der Partei Bündnis 90/Die Grünen gege","Erststimme Bündnis Grünen",1,1,NA,1
"18","204_3"," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der [INSERT] Partei ge","NA",0,204,3,48,"weiblich","einen Realschulabschluss","berufstätig","mittleres","Westdeutschland","sehr religiös","mittig rechts","mit keiner Partei","","mit keiner Partei","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","einschränken","FDP",0,"Ich bin 48 Jahre alt und weiblich. Ich habe einen Realschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," Partei meine Zweitstimme gegeben.",NA,0,0,NA,1," 2017 gewählt und meine Zweitstimme an die [INSERT] gegeben.",NA,0,0,NA,1
"19","205_2"," bei der Bundestagswahl 2017 mit meiner ersten und meiner zweiten Wahlstimme die Partei CDU","CDU",0,205,2,53,"weiblich","einen Realschulabschluss","berufstätig","mittleres","Westdeutschland","etwas religiös","in der Mitte","mit der Partei CDU/CSU","mäßig ","mäßig mit der Partei CDU/CSU","Maßnahmen ergreifen","weder erleichtern noch einschränken","CDU/CSU",0,"Ich bin 53 Jahre alt und weiblich. Ich habe einen Realschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," gewählt. Meine Erststimme ging an die CDU/CSU, und für meine Zweit","Erststimme CDU/CSU",1,1,NA,1," 2017 bei der Bundestagswahl gewählt. Meine Erststimme habe ich der CDU/CS","Erststimme CDU",1,1,NA,1
"20","207_5"," 2017 meine Erststimme einer regionalen Partei gegeben und meine Zweitstimme der Partei Die Linke","Erststimme Linke",1,207,5,57,"männlich","einen Hochschulabschluss","berufstätig","hohes","Westdeutschland","überhaupt nicht religiös","mittig links","mit einer Kleinpartei","sehr stark ","sehr stark mit einer Kleinpartei","Maßnahmen ergreifen","erleichtern","Andere Partei",0,"Ich bin 57 Jahre alt und männlich. Ich habe einen Hochschulabschluss, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich sehr stark mit einer Kleinpartei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," meine Erststimme der Kleinpartei gegeben, für die ich mich identifiziere, und meine Z","Erststimme",1,1,NA,1," meine Erststimme der Kleinpartei gegeben, die ich unterstütze, und meine Zweit","Erststimme",1,1,NA,1
"21","212_3"," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Grünen ge","Grünen",0,212,3,78,"weiblich","einen Hochschulabschluss","nicht berufstätig","mittleres","Westdeutschland","etwas religiös","in der Mitte","mit der Partei CDU/CSU","ziemlich schwach ","ziemlich schwach mit der Partei CDU/CSU","Maßnahmen ergreifen","erleichtern","CDU/CSU",0,"Ich bin 78 Jahre alt und weiblich. Ich habe einen Hochschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," tatsächlich bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei",NA,0,0,NA,1," bei der Bundestagswahl 2017 meine Stimme abgegeben. Ich habe meine Erststimme der Partei","Erststimme",1,1,NA,1
"22","216_4"," mit meiner Zweitstimme gewählt.","NA",0,216,4,80,"männlich","einen Hochschulabschluss","nicht berufstätig","mittleres","Westdeutschland","etwas religiös","in der Mitte","mit der Partei CDU/CSU","mäßig ","mäßig mit der Partei CDU/CSU","Maßnahmen ergreifen","einschränken","CDU/CSU",0,"Ich bin 80 Jahre alt und männlich. Ich habe einen Hochschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt. Me",NA,0,0,NA,1," mit meiner Zweitstimme gewählt.",NA,0,0,NA,1
"23","231_3"," gewählt.

Ich habe meine Zweitstimme der SPD gegeben.","SPD",0,231,3,78,"männlich","Abitur","nicht berufstätig","mittleres","Westdeutschland","etwas religiös","in der Mitte","mit der Partei SPD","mäßig ","mäßig mit der Partei SPD","Maßnahmen ergreifen","weder erleichtern noch einschränken","FDP",1,"Ich bin 78 Jahre alt und männlich. Ich habe Abitur, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge",NA,0,0,NA,1," bei der Bundestagswahl 2017 meine Stimme gegeben und mit meiner Zweitstimme die Anliegen der",NA,0,0,NA,1
"24","289_2"," meine Zweitstimme Die Linke gegeben.","Linke",0,289,2,66,"männlich","Abitur","berufstätig","mittleres","Westdeutschland","überhaupt nicht religiös","mittig links","mit der Partei Die Linke","mäßig ","mäßig mit der Partei Die Linke","Maßnahmen ergreifen","einschränken","Die Linke",1,"Ich bin 66 Jahre alt und männlich. Ich habe Abitur, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mäßig mit der Partei Die Linke. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," für meine Zweitstimme gewählt.",NA,0,0,NA,1," bei der Bundestagswahl 2017 meine Stimme abgegeben und gegeben meine Zweitstimme der Part",NA,0,0,NA,1
"25","295_1","BEIDE Stimmen[END INSERT] für die Partei „Die Grünen“ abgegeben.","Grünen",0,295,1,58,"männlich","Abitur","berufstätig","mittleres","Westdeutschland","etwas religiös","in der Mitte","mit keiner Partei","","mit keiner Partei","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","einschränken","AfD",0,"Ich bin 58 Jahre alt und männlich. Ich habe Abitur, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"," bei der Bundestagswahl 2017 meine Stimme abgegeben. Meine Zweitstimme ging an die Part",NA,0,0,NA,1," gewählt und meine Zweitstimme der [INSERT] Partei gegeben.",NA,0,0,NA,1
